
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
27-01-2020;  1; 5;18;21;27;45;37;6;(1/5);'21201';(4/2);
25-01-2020;  6;10;18;24;40;41;28;5;(5/1);'12102';(4/2);
24-01-2020; 13;16;25;31;35;43;46;6;(1/5);'02121';(3/3);
23-01-2020; 12;16;17;19;27;34;28;8;(3/3);'04110';(4/2);
22-01-2020; 10;11;14;34;42;49; 4;9;(4/2);'03012';(3/3);
21-01-2020;  3;25;28;29;41;43;40;9;(1/5);'10302';(2/4);
20-01-2020;  3;15;18;24;47;48;10;0;(3/3);'12102';(4/2);
18-01-2020;  7;19;23;28;32;35; 9;1;(2/4);'11220';(3/3);
17-01-2020; 17;29;39;42;45;46;16;9;(2/4);'01113';(1/5);
16-01-2020; 14;32;33;34;36;49;11;7;(4/2);'01041';(1/5);
15-01-2020;  1;11;13;14;22;35;23;6;(2/4);'13110';(5/1);
14-01-2020;  2; 7;22;29;39;41;48;0;(2/4);'20211';(3/3);
13-01-2020;  8;17;21;32;35;46;25;7;(3/3);'11121';(3/3);
11-01-2020;  5; 6;25;33;38;49;48;2;(2/4);'20121';(3/3);
10-01-2020;  7;16;17;20;23;39;22;3;(2/4);'12210';(5/1);
 9-01-2020;  3; 9;13;19;33;40;22;0;(1/5);'22011';(4/2);
 8-01-2020; 11;14;17;24;26;43;32;9;(3/3);'03201';(4/2);
 7-01-2020; 27;29;32;39;41;45;23;4;(1/5);'00222';(0/6);
 6-01-2020;  8;16;18;34;36;38;32;0;(6/0);'12030';(3/3);
 4-01-2020; 11;12;29;37;39;46;13;0;(2/4);'02121';(2/4);
 3-01-2020;  6;31;33;41;46;47;18;9;(2/4);'10023';(1/5);
 2-01-2020; 17;20;25;33;37;49;48;2;(1/5);'01221';(3/3);
 1-01-2020;  5;28;29;43;44;46;23;1;(3/3);'10203';(1/5);



